State,Year,Unemployment,US Avg
RI,'10,1.592,Above Average
SC,'10,1.525,Above Average
SD,'10,-4.633,Below Average
TN,'10,0.025,Above Average
TX,'10,-1.475,Below Average
UT,'10,-1.775,Below Average
VA,'10,-2.483,Below Average
VT,'10,-3.525,Below Average
WA,'10,0.383,Above Average
WI,'10,-0.967,Below Average
WV,'10,-0.983,Below Average
WY,'10,-3.158,Below Average
AK,'15,1.266,Above Average
AL,'15,0.825,Above Average
AR,'15,-0.242,Below Average
AZ,'15,0.775,Above Average
CA,'15,0.933,Above Average
CO,'15,-1.392,Below Average
CT,'15,0.466,Above Average
DC,'15,1.608,Above Average
DE,'15,-0.417,Below Average
FL,'15,0.175,Above Average
GA,'15,0.691,Above Average
HI,'15,-1.7,Below Average
IA,'15,-1.492,Below Average
ID,'15,-1.042,Below Average
IL,'15,0.7,Above Average
IN,'15,-0.425,Below Average
KS,'15,-1.117,Below Average
KY,'15,0.025,Above Average
LA,'15,1.066,Above Average
MA,'15,-0.475,Below Average
MD,'15,-0.192,Below Average
ME,'15,-0.892,Below Average
MI,'15,0.141,Above Average
MN,'15,-1.592,Below Average
MO,'15,-0.275,Below Average
MS,'15,1.133,Above Average
MT,'15,-1.075,Below Average
NC,'15,0.45,Above Average
ND,'15,-2.475,Below Average
NE,'15,-2.25,Below Average
NH,'15,-1.9,Below Average
NJ,'15,0.508,Above Average
NM,'15,1.266,Above Average
NV,'15,1.508,Above Average
NY,'15,-0.009,Below Average
OH,'15,-0.359,Below Average
OK,'15,-0.867,Below Average
OR,'15,0.316,Above Average
PA,'15,0.033,Above Average
RI,'15,0.733,Above Average
SC,'15,0.683,Above Average
SD,'15,-2.15,Below Average
TN,'15,0.325,Above Average
TX,'15,-0.842,Below Average
UT,'15,-1.667,Below Average
VA,'15,-0.809,Below Average
VT,'15,-1.692,Below Average
WA,'15,0.375,Above Average
WI,'15,-0.742,Below Average
WV,'15,1.483,Above Average
WY,'15,-0.95,Below Average
