country,category,value
Sudan,Imports,13.574271
Western Sahara,Imports,0.0
Equatorial Guinea,Imports,1561.137497
Mauritania,Imports,0.825319
Cameroon,Imports,158.161864
Senegal,Imports,3.662962
Mali,Imports,3.649953
Guinea,Imports,74.733573
Sierra Leone,Imports,9.312822
Cote d'Ivoire,Imports,1197.97516
Ghana,Imports,158.409617
Gambia,Imports,0.427153
Niger,Imports,65.51339
Togo,Imports,6.439273
Nigeria,Imports,24239.35673
Central African Republic,Imports,5.696947
Gabon,Imports,2815.602273
Chad,Imports,1498.086294
St Helena,Imports,3.269267
Burkina Faso,Imports,2.084203
Benin,Imports,0.513184
Angola,Imports,8484.361601
Congo (Brazzaville),Imports,1622.90154
Guinea-Bissau,Imports,0.120677
Cabo Verde,Imports,2.62425
Sao Tome and Principe,Imports,0.216017
Liberia,Imports,90.827263
Congo (Kinshasa),Imports,263.558216
Burundi,Imports,4.423229
Rwanda,Imports,6.301468
Somalia,Imports,0.307638
Eritrea,Imports,1.269401
Ethiopia,Imports,61.802253
Djibouti,Imports,1.101206
Uganda,Imports,25.769069
Kenya,Imports,348.019269
Seychelles,Imports,5.883749
British Indian Ocean Terr.,Imports,0.432984
Tanzania,Imports,33.695475
Mauritius,Imports,221.85071
Mozambique,Imports,11.905754
Madagascar,Imports,323.631165
Comoros,Imports,1.447044
Reunion,Imports,5.835528
French Southern and Antarctic,Imports,0.05164
South Africa,Imports,5885.639948
Namibia,Imports,129.590672
Botswana,Imports,178.164424
Zambia,Imports,31.70289
Swaziland,Imports,198.886296
Zimbabwe,Imports,94.328983
Malawi,Imports,115.50192
Lesotho,Imports,403.608048
Greenland,Exports,5.085009
Canada,Exports,211898.6894
St Pierre and Miquelon,Exports,0.980031
Mexico,Exports,120247.5801
Guatemala,Exports,2835.38039
Belize,Exports,217.562773
El Salvador,Exports,1854.286657
Honduras,Exports,3253.813808
Nicaragua,Exports,625.460463
Costa Rica,Exports,3598.560177
Panama,Exports,2162.020485
Bermuda,Exports,490.497944
Bahamas,Exports,1786.740047
Cuba,Exports,369.034678
Jamaica,Exports,1700.769277
Turks and Caicos Islands,Exports,237.752693
Cayman Islands,Exports,680.670387
Haiti,Exports,709.620597
Dominican Republic,Exports,4718.733392
Anguilla,Exports,32.186758
British Virgin Islands,Exports,124.856685
St Kitts and Nevis,Exports,94.069439
Antigua and Barbuda,Exports,190.447421
Montserrat,Exports,4.848606
Dominica,Exports,61.540001
St Lucia,Exports,135.389135
St Vincent and the Grenadines,Exports,45.411401
Grenada,Exports,82.440305
Barbados,Exports,394.92009
Trinidad and Tobago,Exports,1416.748479
Netherlands Antilles,Exports,1137.633614
Aruba,Exports,558.924451
Guadeloupe,Exports,54.512655
Martinique,Exports,34.95999
Colombia,Exports,5462.357164
Venezuela,Exports,6420.897723
Guyana,Exports,176.704601
Suriname,Exports,245.701079
French Guiana,Exports,26.993942
Ecuador,Exports,1963.825872
Peru,Exports,2309.446378
Bolivia,Exports,219.479092
Chile,Exports,5133.523351
Brazil,Exports,15371.71785
Paraguay,Exports,895.819607
Uruguay,Exports,356.676188
Argentina,Exports,4121.861182
Falkland Islands(Islas Malvin,Exports,9.049418
Iceland,Exports,512.019513
Sweden,Exports,3715.36862
"Svalbard, Jan Mayen Island",Exports,5.677609
Norway,Exports,1941.882004
Finland,Exports,2254.052992
Faroe Islands,Exports,2.528152
Denmark,Exports,1918.423705
United Kingdom,Exports,38568.08305
Ireland,Exports,8446.771993
Netherlands,Exports,26467.74458
Belgium,Exports,18690.60657
Luxembourg,Exports,711.38307
Andorra,Exports,10.549473
Monaco,Exports,16.776668
France,Exports,22258.62805
Germany,Exports,34183.65627
Austria,Exports,2544.481273
Czech Republic,Exports,1053.557481
Slovakia,Exports,149.800634
Hungary,Exports,1023.258213
Liechtenstein,Exports,19.7165
Switzerland,Exports,10717.52806
Estonia,Exports,145.425805
Latvia,Exports,177.537085
Lithuania,Exports,390.027824
Poland,Exports,1267.748385
Russia,Exports,3962.270261
Belarus,Exports,34.942759
Ukraine,Exports,532.954308
Armenia,Exports,65.483218
Azerbaijan,Exports,132.462798
Georgia,Exports,213.886826
Kazakhstan,Exports,538.286932
Kyrgyzstan,Exports,31.140901
Moldova,Exports,40.069837
Tajikistan,Exports,28.7867
Turkmenistan,Exports,215.170092
Uzbekistan,Exports,73.826609
Spain,Exports,6839.116578
Portugal,Exports,1131.865366
Gibraltar,Exports,163.257568
Malta,Exports,193.709217
San Marino,Exports,4.676009
Vatican City,Exports,24.181227
Italy,Exports,11524.32529
Croatia,Exports,158.621993
Slovenia,Exports,233.830317
Bosnia and Herzegovina,Exports,17.573793
Macedonia,Exports,31.556267
Serbia and Montenegro,Exports,132.49633
Albania,Exports,18.513925
Greece,Exports,1192.248494
Romania,Exports,608.858767
Bulgaria,Exports,267.93442
Turkey,Exports,4238.966194
Cyprus,Exports,84.179247
Syria,Exports,155.049379
Lebanon,Exports,465.688546
Iraq,Exports,1373.986265
Iran,Exports,95.773068
Israel,Exports,9737.340849
Gaza Strip admin. by Israel,Exports,0.23112
West Bank admin. by Israel,Exports,3.720993
Jordan,Exports,644.195347
Kuwait,Exports,1974.875551
Saudi Arabia,Exports,6805.402418
Qatar,Exports,986.642413
United Arab Emirates,Exports,8119.527357
Republic of Yemen,Exports,219.04852
Oman,Exports,570.72512
Bahrain,Exports,350.78451
Afghanistan,Exports,262.153213
India,Exports,7918.602428
