country,venue,medals
Spain,1960 Squaw Valley,0
Spain,1964 Innsbruck,0
Spain,1968 Grenoble,0
Spain,1972 Sapporo,0
Spain,1976 Innsbruck,1
Spain,1980 Lake Placid,0
Spain,1984 Sarajevo,0
Spain,1988 Calgary,0
Spain,1992 Albertville,0
Spain,1994 Lillehammer,1
Spain,1998 Nagano,0
Spain,2002 Salt Lake City,0
Spain,2006 Turin,0
Spain,2010 Vancouver,0
Spain,2014 Sochi,0
China,1924 Chamonix,0
China,1928 St. Moritz,0
China,1932 Lake Placid,0
China,1935 Garmisch-Partenkirchen,0
China,1940 Cancelled (Sapporo),0
China,1944 Cancelled (Cortina d'Ampezzo),0
China,1948 St. Moritz,0
China,1952 Oslo,0
China,1056 Cortina d'Ampezzo,0
China,1960 Squaw Valley,0
China,1964 Innsbruck,0
China,1968 Grenoble,0
China,1972 Sapporo,0
China,1976 Innsbruck,0
China,1980 Lake Placid,0
China,1984 Sarajevo,0
China,1988 Calgary,0
China,1992 Albertville,0
China,1994 Lillehammer,3
China,1998 Nagano,3
China,2002 Salt Lake City,8
China,2006 Turin,8
China,2010 Vancouver,11
China,2014 Sochi,11
South Korea,1924 Chamonix,0
South Korea,1928 St. Moritz,0
South Korea,1932 Lake Placid,0
South Korea,1935 Garmisch-Partenkirchen,0
South Korea,1940 Cancelled (Sapporo),0
South Korea,1944 Cancelled (Cortina d'Ampezzo),0
South Korea,1948 St. Moritz,0
South Korea,1952 Oslo,0
South Korea,1056 Cortina d'Ampezzo,0
South Korea,1960 Squaw Valley,0
South Korea,1964 Innsbruck,0
South Korea,1968 Grenoble,0
South Korea,1972 Sapporo,0
South Korea,1976 Innsbruck,0
South Korea,1980 Lake Placid,0
South Korea,1984 Sarajevo,0
South Korea,1988 Calgary,0
South Korea,1992 Albertville,0
South Korea,1994 Lillehammer,4
South Korea,1998 Nagano,6
South Korea,2002 Salt Lake City,6
South Korea,2006 Turin,4
South Korea,2010 Vancouver,11
South Korea,2014 Sochi,14
Czech Republic,1924 Chamonix,0
Czech Republic,1928 St. Moritz,0
Czech Republic,1932 Lake Placid,0
Czech Republic,1935 Garmisch-Partenkirchen,0
Czech Republic,1940 Cancelled (Sapporo),0
Czech Republic,1944 Cancelled (Cortina d'Ampezzo),0
Czech Republic,1948 St. Moritz,0
Czech Republic,1952 Oslo,0
Czech Republic,1056 Cortina d'Ampezzo,0
Czech Republic,1960 Squaw Valley,0
Czech Republic,1964 Innsbruck,0
Czech Republic,1968 Grenoble,0
Czech Republic,1972 Sapporo,0
Czech Republic,1976 Innsbruck,0
Czech Republic,1980 Lake Placid,0
Czech Republic,1984 Sarajevo,0
Czech Republic,1988 Calgary,0
Czech Republic,1992 Albertville,0
Czech Republic,1994 Lillehammer,0
Czech Republic,1998 Nagano,0
Czech Republic,2002 Salt Lake City,3
Czech Republic,2006 Turin,3
Czech Republic,2010 Vancouver,4
Czech Republic,2014 Sochi,6
Belarus,1924 Chamonix,0
Belarus,1928 St. Moritz,0
Belarus,1932 Lake Placid,0
Belarus,1935 Garmisch-Partenkirchen,0
Belarus,1940 Cancelled (Sapporo),0
Belarus,1944 Cancelled (Cortina d'Ampezzo),0
Belarus,1948 St. Moritz,0
Belarus,1952 Oslo,0
Belarus,1056 Cortina d'Ampezzo,0
Belarus,1960 Squaw Valley,0
Belarus,1964 Innsbruck,0
Belarus,1968 Grenoble,0
Belarus,1972 Sapporo,0
Belarus,1976 Innsbruck,0
Belarus,1980 Lake Placid,0
Belarus,1984 Sarajevo,0
Belarus,1988 Calgary,0
Belarus,1992 Albertville,0
Belarus,1994 Lillehammer,0
Belarus,1998 Nagano,2
Belarus,2002 Salt Lake City,2
Belarus,2006 Turin,1
Belarus,2010 Vancouver,1
Belarus,2014 Sochi,3
Kazakhstan,1924 Chamonix,0
Kazakhstan,1928 St. Moritz,0
Kazakhstan,1932 Lake Placid,0
Kazakhstan,1935 Garmisch-Partenkirchen,0
Kazakhstan,1940 Cancelled (Sapporo),0
Kazakhstan,1944 Cancelled (Cortina d'Ampezzo),0
Kazakhstan,1948 St. Moritz,0
Kazakhstan,1952 Oslo,0
Kazakhstan,1056 Cortina d'Ampezzo,0
Kazakhstan,1960 Squaw Valley,0
Kazakhstan,1964 Innsbruck,0
Kazakhstan,1968 Grenoble,0
Kazakhstan,1972 Sapporo,0
Kazakhstan,1976 Innsbruck,0
Kazakhstan,1980 Lake Placid,0
Kazakhstan,1984 Sarajevo,0
Kazakhstan,1988 Calgary,0
Kazakhstan,1992 Albertville,0
Kazakhstan,1994 Lillehammer,0
Kazakhstan,1998 Nagano,3
Kazakhstan,2002 Salt Lake City,2
Kazakhstan,2006 Turin,0
Kazakhstan,2010 Vancouver,0
Kazakhstan,2014 Sochi,1
Bulgaria,1924 Chamonix,0
Bulgaria,1928 St. Moritz,0
Bulgaria,1932 Lake Placid,0
Bulgaria,1935 Garmisch-Partenkirchen,0
Bulgaria,1940 Cancelled (Sapporo),0
Bulgaria,1944 Cancelled (Cortina d'Ampezzo),0
Bulgaria,1948 St. Moritz,0
Bulgaria,1952 Oslo,0
Bulgaria,1056 Cortina d'Ampezzo,0
Bulgaria,1960 Squaw Valley,0
Bulgaria,1964 Innsbruck,0
Bulgaria,1968 Grenoble,0
Bulgaria,1972 Sapporo,0
Bulgaria,1976 Innsbruck,0
Bulgaria,1980 Lake Placid,0
Bulgaria,1984 Sarajevo,1
Bulgaria,1988 Calgary,0
Bulgaria,1992 Albertville,0
Bulgaria,1994 Lillehammer,0
Bulgaria,1998 Nagano,0
Bulgaria,2002 Salt Lake City,1
Bulgaria,2006 Turin,3
Bulgaria,2010 Vancouver,1
Bulgaria,2014 Sochi,0
Denmark,1924 Chamonix,0
Denmark,1928 St. Moritz,0
Denmark,1932 Lake Placid,0
Denmark,1935 Garmisch-Partenkirchen,0
Denmark,1940 Cancelled (Sapporo),0
Denmark,1944 Cancelled (Cortina d'Ampezzo),0
Denmark,1948 St. Moritz,0
Denmark,1952 Oslo,0
Denmark,1056 Cortina d'Ampezzo,0
Denmark,1960 Squaw Valley,0
Denmark,1964 Innsbruck,0
Denmark,1968 Grenoble,0
Denmark,1972 Sapporo,0
Denmark,1976 Innsbruck,0
Denmark,1980 Lake Placid,0
Denmark,1984 Sarajevo,0
Denmark,1988 Calgary,0
Denmark,1992 Albertville,0
Denmark,1994 Lillehammer,0
Denmark,1998 Nagano,0
Denmark,2002 Salt Lake City,1
Denmark,2006 Turin,0
Denmark,2010 Vancouver,0
Denmark,2014 Sochi,0
Ukraine,1924 Chamonix,0
Ukraine,1928 St. Moritz,0
Ukraine,1932 Lake Placid,0
Ukraine,1935 Garmisch-Partenkirchen,0
Ukraine,1940 Cancelled (Sapporo),0
Ukraine,1944 Cancelled (Cortina d'Ampezzo),0
Ukraine,1948 St. Moritz,0
Ukraine,1952 Oslo,0
Ukraine,1056 Cortina d'Ampezzo,0
Ukraine,1960 Squaw Valley,0
Ukraine,1964 Innsbruck,0
Ukraine,1968 Grenoble,0
Ukraine,1972 Sapporo,0
Ukraine,1976 Innsbruck,0
Ukraine,1980 Lake Placid,0
Ukraine,1984 Sarajevo,0
Ukraine,1988 Calgary,0
Ukraine,1992 Albertville,0
Ukraine,1994 Lillehammer,0
Ukraine,1998 Nagano,2
Ukraine,2002 Salt Lake City,1
Ukraine,2006 Turin,0
Ukraine,2010 Vancouver,2
Ukraine,2014 Sochi,0
Australia,1924 Chamonix,0
Australia,1928 St. Moritz,0
Australia,1932 Lake Placid,0
Australia,1935 Garmisch-Partenkirchen,0
Australia,1940 Cancelled (Sapporo),0
Australia,1944 Cancelled (Cortina d'Ampezzo),0
Australia,1948 St. Moritz,0
Australia,1952 Oslo,0
Australia,1056 Cortina d'Ampezzo,0
Australia,1960 Squaw Valley,0
Australia,1964 Innsbruck,0
Australia,1968 Grenoble,0
Australia,1972 Sapporo,0
Australia,1976 Innsbruck,0
Australia,1980 Lake Placid,0
