 id, date, value
 Helen, 1890-07-02,2417
 Helen, 1889-12-31,2312
 Helen, 1889-07-02,2312
 Helen, 1889-01-01,1909
 Helen, 1888-07-02,1909
 Helen, 1887-12-31,1847
 Helen, 1887-07-02,1405
 Helen, 1887-01-01,1405
 Helen, 1886-07-02,1267
 Helen, 1886-01-01,1267
 Helen, 1885-07-02,1267
 Helen, 1884-12-31,1134
 Helen, 1884-07-02,1134
 Helen, 1884-01-01,986
 Helen, 1883-07-02,862
 Helen, 1883-01-01,862
 Helen, 1882-07-02,862
 Helen, 1881-12-31,838
 Helen, 1881-07-02,838
 Helen, 1881-01-01,612
 Helen, 1880-07-02,612
 Helen, 1880-01-01,636
 Helen, 1880-01-01,636
 Amanda, 1880-01-01,241
 Amanda, 1880-07-02,263
 Amanda, 1881-01-01,263
 Amanda, 1881-07-02,288
 Amanda, 1881-12-31,288
 Amanda, 1882-07-02,287
 Amanda, 1883-01-01,287
 Amanda, 1883-07-02,287
 Amanda, 1884-01-01,337
 Amanda, 1884-07-02,339
 Amanda, 1884-12-31,339
 Amanda, 1885-07-02,370
 Amanda, 1886-01-01,370
 Amanda, 1886-07-02,370
 Amanda, 1887-01-01,338
 Amanda, 1887-07-02,338
 Amanda, 1887-12-31,404
 Amanda, 1888-07-02,413
 Amanda, 1889-01-01,413
 Amanda, 1889-07-02,392
 Amanda, 1889-12-31,392
 Amanda, 1890-07-02,371
 Amanda, 1890-12-31,371
 Amanda, 1891-07-02,371
 Amanda, 1892-01-01,455
 Amanda, 1892-07-01,455
 Amanda, 1892-12-31,387
 Amanda, 1893-07-02,418
 Amanda, 1893-12-31,418
 Amanda, 1894-07-02,418
 Amanda, 1895-01-01,431
 Amanda, 1895-07-02,431
 Amanda, 1895-12-31,367
 Amanda, 1896-07-01,367
 Amanda, 1897-01-01,354
 Amanda, 1897-07-02,371
 Amanda, 1898-01-01,371
 Amanda, 1898-07-02,371
 Amanda, 1898-12-31,326
 Amanda, 1899-07-02,377
 Amanda, 1900-01-01,377
 Amanda, 1900-07-02,317
 Amanda, 1900-12-31,317
 Amanda, 1901-07-02,317
 Amanda, 1902-01-01,301
 Amanda, 1902-07-02,247
 Amanda, 1903-01-01,247
 Amanda, 1903-07-02,247
 Amanda, 1903-12-31,294
 Amanda, 1904-07-01,294
 Amanda, 1905-01-01,311
 Amanda, 1905-07-02,260
 Amanda, 1905-12-31,260
 Amanda, 1906-07-02,285
 Amanda, 1906-12-31,285
 Amanda, 1907-07-02,285
 Amanda, 1908-01-01,260
 Amanda, 1908-07-01,260
 Amanda, 1908-12-31,271
 Amanda, 1909-07-02,278
 Amanda, 1909-12-31,278
 Amanda, 1910-07-02,278
 Amanda, 1911-01-01,280
 Amanda, 1911-07-02,280
 Amanda, 1911-12-31,310
 Amanda, 1912-07-01,310
 Amanda, 1912-12-31,346
 Amanda, 1913-07-02,375
 Amanda, 1914-01-01,375
 Amanda, 1914-07-02,412
 Amanda, 1914-12-31,412
 Amanda, 1915-07-02,412
 Amanda, 1916-01-01,421
 Amanda, 1916-07-01,421
 Amanda, 1917-01-01,445
 Amanda, 1917-07-02,397
 Amanda, 1917-12-31,397
 Amanda, 1918-07-02,397
 Amanda, 1919-01-01,379
 Amanda, 1919-07-02,379
 Amanda, 1919-12-31,379
 Amanda, 1920-07-02,392
 Amanda, 1920-12-31,392
 Amanda, 1921-07-02,341
 Amanda, 1922-01-01,341
 Amanda, 1922-07-02,341
 Amanda, 1922-12-31,362
 Amanda, 1923-07-02,362
 Amanda, 1924-01-01,341
 Amanda, 1924-04-01,341
 Amanda, 1924-10-01,310
 Amanda, 1925-01-01,310
 Amanda, 1925-04-02,310
 Amanda, 1925-10-01,310
 Amanda, 1925-12-31,310
 Amanda, 1926-07-02,234
 Amanda, 1927-01-01,234
 Amanda, 1927-04-02,234
 Amanda, 1927-10-01,247
 Amanda, 1927-12-31,247
 Amanda, 1928-04-01,247
 Amanda, 1928-10-01,209
 Amanda, 1928-12-31,209
 Amanda, 1929-04-02,209
 Amanda, 1929-08-17,196
 Amanda, 1929-11-16,196
 Amanda, 1930-01-01,196
 Amanda, 1930-04-02,196
 Amanda, 1930-10-01,209
 Amanda, 1930-12-31,209
 Amanda, 1931-02-15,209
 Amanda, 1931-05-17,209
 Amanda, 1931-08-17,213
 Amanda, 1931-11-16,213
 Amanda, 1932-01-01,213
 Amanda, 1932-04-01,213
 Amanda, 1932-10-01,199
 Amanda, 1933-01-01,199
 Amanda, 1933-02-15,199
 Amanda, 1933-05-17,199
 Amanda, 1933-10-01,189
 Amanda, 1933-12-31,189
 Amanda, 1934-04-02,189
 Amanda, 1934-10-01,211
 Amanda, 1935-01-01,211
 Amanda, 1935-04-02,211
 Amanda, 1935-08-17,192
 Amanda, 1935-11-16,192
 Amanda, 1936-01-01,192
 Amanda, 1936-04-01,192
 Amanda, 1936-10-01,176
 Amanda, 1936-12-31,176
 Amanda, 1937-07-02,192
 Amanda, 1938-01-01,192
 Amanda, 1938-04-02,192
 Amanda, 1938-10-01,185
 Amanda, 1939-01-01,185
 Amanda, 1939-07-02,185
 Amanda, 1939-12-31,218
 Amanda, 1940-07-02,223
 Amanda, 1941-01-01,223
 Amanda, 1941-07-02,295
 Amanda, 1941-12-31,295
 Amanda, 1942-04-02,295
 Amanda, 1942-08-17,284
 Amanda, 1942-11-16,284
 Amanda, 1942-12-31,284
 Amanda, 1943-02-15,284
 Amanda, 1943-05-17,284
 Amanda, 1943-10-01,238
 Amanda, 1944-01-01,238
 Amanda, 1944-02-15,238
 Amanda, 1944-05-17,238
 Amanda, 1944-08-16,280
 Amanda, 1944-11-16,280
 Amanda, 1944-12-31,280
 Amanda, 1945-04-02,280
 Amanda, 1945-10-01,274
 Amanda, 1945-12-31,274
 Amanda, 1946-07-02,274
 Amanda, 1947-01-01,310
 Amanda, 1947-02-15,310
 Amanda, 1947-05-17,310
 Amanda, 1947-10-01,306
 Amanda, 1947-12-31,306
 Amanda, 1948-02-15,306
 Amanda, 1948-05-17,306
 Amanda, 1948-10-01,333
 Amanda, 1949-01-01,333
 Amanda, 1949-02-15,333
 Amanda, 1949-05-17,333
 Amanda, 1949-08-17,379
 Amanda, 1949-11-16,379
 Amanda, 1950-01-01,379
 Amanda, 1950-04-02,379
 Amanda, 1950-10-01,409
 Amanda, 1950-12-31,409
 Amanda, 1951-02-15,409
 Amanda, 1951-05-17,409
 Amanda, 1951-10-01,418
 Amanda, 1952-01-01,418
 Amanda, 1952-07-01,418
 Amanda, 1953-01-01,428
 Amanda, 1953-07-02,428
 Amanda, 1953-12-31,428
 Amanda, 1954-07-02,428
 Amanda, 1955-01-01,452
 Amanda, 1955-07-02,452
 Amanda, 1955-12-31,643
 Amanda, 1956-07-01,643
 Amanda, 1956-12-31,667
 Amanda, 1957-07-02,796
 Amanda, 1958-01-01,796
 Amanda, 1958-07-02,858
 Amanda, 1958-12-31,858
 Amanda, 1959-07-02,858
 Amanda, 1960-01-01,977
 Amanda, 1960-07-01,977
 Amanda, 1961-01-01,1057
 Amanda, 1961-07-02,948
 Amanda, 1961-12-31,948
 Amanda, 1962-07-02,1035
 Amanda, 1963-01-01,1035
 Amanda, 1963-07-02,1035
 Amanda, 1963-12-31,1275
 Amanda, 1964-07-02,1650
 Amanda, 1964-12-31,1650
 Amanda, 1965-07-02,2329
 Amanda, 1966-01-01,2329
 Amanda, 1966-07-02,2329
 Amanda, 1966-12-31,2663
 Amanda, 1967-07-02,2663
 Amanda, 1968-01-01,2430
 Amanda, 1968-07-02,2817
 Amanda, 1969-01-01,2817
 Amanda, 1969-07-02,3550
 Amanda, 1969-12-31,3550
 Amanda, 1970-07-02,4133
 Amanda, 1971-01-01,4133
 Amanda, 1971-07-02,4133
 Amanda, 1972-01-01,4181
