school,Metric,score
PITTSBURGH,All IR,76.2
VANDERBILT,All IR,112.3333333
UC RIVERSIDE,All IR,2
TEXAS AUSTIN,All IR,62.33333333
COLORADO,All IR,188.25
IOWA,All IR,167.6
ARIZONA,All IR,95.3
BROWN,All IR,70
UC IRVINE,All IR,18.42857143
NOTRE DAME,All IR,95.1875
VIRGINIA,All IR,74.3
UC SANTA BARBARA,All IR,49.66666667
GEORGETOWN,All IR,135.0434783
OREGON,All IR,42.4
JOHNS HOPKINS,All IR,54
SYRACUSE,All IR,73.81818182
STANFORD,H-Index All IR,5.636363636
HARVARD,H-Index All IR,3
MICHIAN AA,H-Index All IR,4.9
COLUMBIA,H-Index All IR,5.090909091
MIT,H-Index All IR,2.625
PRINCETON,H-Index All IR,6.263157895
UC SAN DIEGO,H-Index All IR,5.833333333
YALE,H-Index All IR,3.142857143
NYU,H-Index All IR,3.9375
BERKLEY,H-Index All IR,3.8
CHICAGO,H-Index All IR,3.583333333
WASHINGTON ST L,H-Index All IR,5.5
DUKE,H-Index All IR,5.461538462
NORTH CAROLINA CH,H-Index All IR,3.75
UC DAVIS,H-Index All IR,5.375
ROCHESTER,H-Index All IR,2.285714286
PENN STATE,H-Index All IR,5.166666667
RICE,H-Index All IR,5.428571429
WISCONSIN MAD,H-Index All IR,4
TEXAS A&M,H-Index All IR,4.75
WASHINGTON,H-Index All IR,3.545454545
UCLA,H-Index All IR,2.076923077
ILLINOIS,H-Index All IR,6.375
NORTHWESTERN,H-Index All IR,2.375
GEORGE WASHINGTON,H-Index All IR,4.55
EMORY,H-Index All IR,4.5
OHIO STATE,H-Index All IR,4.153846154
FLORIDA STATE,H-Index All IR,2.8
INDIANA,H-Index All IR,5.1
MINNESOTA,H-Index All IR,3.5
MARYLAND,H-Index All IR,3.75
BINGHAMTON,H-Index All IR,3.428571429
MICHIGAN STATE,H-Index All IR,2.25
STONY BROOK,H-Index All IR,0
CORNELL,H-Index All IR,2.555555556
PENN,H-Index All IR,4.9
PITTSBURGH,H-Index All IR,2.3
VANDERBILT,H-Index All IR,3.333333333
UC RIVERSIDE,H-Index All IR,0.5
TEXAS AUSTIN,H-Index All IR,3.111111111
COLORADO,H-Index All IR,7
IOWA,H-Index All IR,4.8
ARIZONA,H-Index All IR,3
BROWN,H-Index All IR,3.428571429
UC IRVINE,H-Index All IR,1.428571429
NOTRE DAME,H-Index All IR,3.4375
VIRGINIA,H-Index All IR,3.9
UC SANTA BARBARA,H-Index All IR,4
GEORGETOWN,H-Index All IR,4.173913043
OREGON,H-Index All IR,1.6
JOHNS HOPKINS,H-Index All IR,2
SYRACUSE,H-Index All IR,2.727272727
STANFORD,IREx16,111
HARVARD,IREx16,12.28571429
MICHIAN AA,IREx16,156.8
COLUMBIA,IREx16,41.18181818
MIT,IREx16,54.6875
PRINCETON,IREx16,238.5263158
UC SAN DIEGO,IREx16,82.44444444
YALE,IREx16,129.1428571
NYU,IREx16,94.75
BERKLEY,IREx16,105.4
CHICAGO,IREx16,219.8333333
WASHINGTON ST L,IREx16,181
DUKE,IREx16,150.9230769
NORTH CAROLINA CH,IREx16,86.58333333
UC DAVIS,IREx16,60
ROCHESTER,IREx16,38.71428571
PENN STATE,IREx16,124.25
RICE,IREx16,65.14285714
WISCONSIN MAD,IREx16,227.7777778
TEXAS A&M,IREx16,62.625
WASHINGTON,IREx16,40.27272727
UCLA,IREx16,99.38461538
ILLINOIS,IREx16,108.375
NORTHWESTERN,IREx16,63.375
GEORGE WASHINGTON,IREx16,251
EMORY,IREx16,85.5
OHIO STATE,IREx16,264.4615385
FLORIDA STATE,IREx16,33
INDIANA,IREx16,46.6
MINNESOTA,IREx16,276.2
MARYLAND,IREx16,0
BINGHAMTON,IREx16,79.57142857
MICHIGAN STATE,IREx16,18
STONY BROOK,IREx16,0
CORNELL,IREx16,56.88888889
PENN,IREx16,255.2
PITTSBURGH,IREx16,29.2
VANDERBILT,IREx16,104.3333333
UC RIVERSIDE,IREx16,2
TEXAS AUSTIN,IREx16,18.88888889
COLORADO,IREx16,72.5
IOWA,IREx16,67.4
ARIZONA,IREx16,59.6
BROWN,IREx16,39.71428571
UC IRVINE,IREx16,12
NOTRE DAME,IREx16,40.6875
VIRGINIA,IREx16,57.9
UC SANTA BARBARA,IREx16,18.33333333
GEORGETOWN,IREx16,106.1304348
OREGON,IREx16,31.6
JOHNS HOPKINS,IREx16,53.11111111
SYRACUSE,IREx16,40.81818182
STANFORD,H-Index IREx16,1.727272727
HARVARD,H-Index IREx16,1
MICHIAN AA,H-Index IREx16,1.9
COLUMBIA,H-Index IREx16,1.818181818
MIT,H-Index IREx16,2.125
